situation_id,record_id,start_time,end_time,validity_status,cause_type,source,road_name,lanes_closed,closure_lat,closure_lon,poslist,ingestion_time
signs/M25-S5331B,7-1775915042-13686453-c46c-42a7-bb5c-69ce2005837d-close,2026-04-11T13:33:42.42Z,2026-04-11T13:48:42.42Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.695656117647054,-0.2403496470588235,['51.693251 -0.238447 51.693531 -0.238758 51.693614 -0.238856 51.69407 -0.239316 51.694554 -0.239775 51.694671 -0.239871 51.694754 -0.239941 51.695081 -0.240174 51.695517 -0.240461 51.695935 -0.240705 51.696216 -0.240868 51.696641 -0.24106 51.697221 -0.241321 51.697429 -0.241414 51.697601 -0.241509 51.697991 -0.241711 51.698077 -0.241757'],2026-04-12 20:47:37.128536
signs/M25-S5009M,7-1776019290-0e00c2df-fa9f-43b8-bc85-06a7a27673cc-close,2026-04-12T18:38:12.12Z,2026-04-12T18:53:12.12Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.54460266666667,-0.5079834545454546,['51.547302 -0.515725 51.547233 -0.515482 51.547224 -0.515453 51.547101 -0.514981 51.547016 -0.514652 51.546597 -0.512806 51.54651 -0.512405 51.546272 -0.511302 51.546139 -0.510744 51.546007 -0.510258 51.545922 -0.509943 51.54581 -0.509586 51.545576 -0.508873 51.545409 -0.508446 51.545094 -0.507706 51.544954 -0.507379 51.544613 -0.506712 51.544411 -0.506358 51.544043 -0.505722 51.543924 -0.505552 51.543906 -0.505524 51.543904 -0.505522 51.543585 -0.505073 51.543531 -0.505003 51.543293 -0.504694 51.543119 -0.504468 51.542745 -0.504048 51.54249 -0.503782 51.542244 -0.503545 51.542008 -0.503337 51.541708 -0.503087 51.541281 -0.502755 51.540917 -0.502531'],2026-04-12 20:47:37.128582
signs/M1-S2386A,7-1775999621-a401cd7a-aa67-4508-879b-31ebbc3c47b7-close,2026-04-12T13:08:47.47Z,2026-04-12T13:23:47.47Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M1,0,51.764749571428574,-0.41607614285714284,['51.761032 -0.417004 51.761389 -0.416968 51.764705 -0.416125 51.764796 -0.416096 51.766922 -0.415499 51.767182 -0.415426 51.767221 -0.415415'],2026-04-12 20:47:37.128605
signs/M3-S1343L,7-1776020790-f2783c0d-20ce-4f11-8d77-fa59a0d965cb-close,2026-04-12T19:08:47.47Z,2026-04-12T19:23:47.47Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.4012100625,-0.53711946875,['51.401062 -0.541082 51.401233 -0.540674 51.401424 -0.540286 51.401709 -0.539776 51.401966 -0.539331 51.402088 -0.539063 51.402161 -0.53883 51.40228 -0.538392 51.402316 -0.53813 51.402339 -0.537991 51.40235 -0.537717 51.40234 -0.537436 51.402308 -0.537167 51.402235 -0.536847 51.402145 -0.536556 51.402012 -0.536256 51.401906 -0.536087 51.401745 -0.535896 51.401534 -0.535708 51.401403 -0.535614 51.401138 -0.535516 51.400983 -0.535492 51.400801 -0.535492 51.400695 -0.535499 51.400439 -0.535576 51.400047 -0.535732 51.399689 -0.535876 51.399567 -0.535926 51.399435 -0.535941 51.399201 -0.535977 51.399178 -0.535984 51.398993 -0.535973'],2026-04-12 20:47:37.128636
signs/M61-S5238J,7-1775985613-cf86b3d3-c2b2-4d41-b9aa-e79c3e062325-close,2026-04-12T09:05:21.21Z,2026-04-12T09:20:21.21Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M61,0,53.543473291666665,-2.3867129166666667,['53.540981 -2.388591 53.540991 -2.388576 53.541012 -2.388537 53.541111 -2.388387 53.541409 -2.387997 53.541643 -2.387728 53.541743 -2.387608 53.542112 -2.387279 53.542392 -2.387056 53.542932 -2.386698 53.543067 -2.386624 53.543433 -2.386418 53.543671 -2.386283 53.543788 -2.386223 53.54386 -2.386194 53.544409 -2.385957 53.544922 -2.385781 53.545155 -2.385723 53.545416 -2.385634 53.545515 -2.385605 53.545722 -2.385577 53.545767 -2.385562 53.545929 -2.385549 53.546379 -2.385523'],2026-04-12 20:47:37.128663
signs/M25-S5225B,7-1776016103-a061d559-388d-40b7-849b-b471a6d8b710-close,2026-04-12T17:43:58.58Z,2026-04-12T17:58:58.58Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.714771705882356,-0.39386564705882354,['51.715529 -0.389883 51.715527 -0.389893 51.715502 -0.390011 51.715493 -0.390057 51.715447 -0.390273 51.715447 -0.390287 51.715332 -0.390734 51.715055 -0.392003 51.714478 -0.394646 51.714428 -0.394978 51.714272 -0.396069 51.714232 -0.396433 51.714222 -0.396531 51.714112 -0.397551 51.71405 -0.398263 51.713998 -0.399032 51.713995 -0.399072'],2026-04-12 20:47:37.128687
signs/M25-S5225M,7-1775967255-583d222a-e161-42a5-bb81-538805eaf44c-close,2026-04-12T04:00:06.06Z,2026-04-12T04:15:06.06Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.714771705882356,-0.39386564705882354,['51.715529 -0.389883 51.715527 -0.389893 51.715502 -0.390011 51.715493 -0.390057 51.715447 -0.390273 51.715447 -0.390287 51.715332 -0.390734 51.715055 -0.392003 51.714478 -0.394646 51.714428 -0.394978 51.714272 -0.396069 51.714232 -0.396433 51.714222 -0.396531 51.714112 -0.397551 51.71405 -0.398263 51.713998 -0.399032 51.713995 -0.399072'],2026-04-12 20:47:37.128707
signs/M40-S8402M,7-1775874984-ecb978c5-e766-449e-a937-91d04292161e-close,2026-04-11T02:18:34.34Z,2026-04-11T02:33:34.34Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M40,0,51.592669105263155,-0.6210607894736843,['51.594548 -0.626181 51.59453 -0.62616 51.594475 -0.626075 51.594401 -0.625918 51.593944 -0.624459 51.593832 -0.624145 51.593085 -0.622536 51.59303 -0.622408 51.592872 -0.62198 51.592779 -0.621737 51.592631 -0.621424 51.592622 -0.621381 51.591771 -0.618649 51.591715 -0.618478 51.59121 -0.616775 51.591188 -0.616718 51.591188 -0.616717 51.590863 -0.615617 51.590029 -0.612797'],2026-04-12 20:47:37.128730
signs/M25-S5231B,7-1776016103-c1b78159-b23a-4dd2-8322-0320311e0710-close,2026-04-12T17:43:57.57Z,2026-04-12T17:58:57.57Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.71616829166667,-0.38477695833333336,['51.716364 -0.380242 51.716364 -0.380266 51.71637 -0.380826 51.716379 -0.381438 51.716375 -0.381778 51.716369 -0.382361 51.716346 -0.383002 51.716313 -0.383731 51.716308 -0.383854 51.7163 -0.383953 51.716259 -0.38497 51.716258 -0.384996 51.716246 -0.385061 51.716212 -0.385337 51.716208 -0.385388 51.716188 -0.385611 51.716151 -0.385971 51.716125 -0.386232 51.716046 -0.386873 51.715961 -0.387425 51.715952 -0.387482 51.715793 -0.388533 51.71562 -0.389449 51.715532 -0.389868'],2026-04-12 20:47:37.128753
signs/M25-S5743A,7-1776019290-77fa1b6e-ad52-40e4-8af1-fb5a06a1c9d9-close,2026-04-12T18:25:22.22Z,2026-04-12T18:40:22.22Z,suspended,roadOrCarriagewayOrLaneManagement,Signs and Signals,M25,0,51.58974933333333,0.2706959333333333,['51.592035 0.269804 51.591365 0.269991 51.591066 0.270077 51.590668 0.270202 51.590315 0.270329 51.590232 0.270371 51.590206 0.270381 51.590052 0.270431 51.589977 0.270467 51.589608 0.27064 51.589162 0.270878 51.588698 0.271143 51.58817 0.271492 51.587677 0.271857 51.587009 0.272376'],2026-04-12 20:47:37.128774
