situation_id,record_id,start_time,end_time,validity_status,cause_type,source,road_name,lanes_closed,closure_lat,closure_lon,poslist,ingestion_time,closure_type,start_time_dt,end_time_dt,duration_hours,effective_start_time,effective_end_time,effective_duration_hours,road_class,closure_severity,start_hour,start_dow,start_date
481398,1-1770230430-d6ff48ca-8971-4f31-831f-272231753b8a,2026-04-11T19:00:00Z,2026-04-12T05:00:00Z,planned,roadMaintenance,roadworks,M11,2,52.241031500000005,0.0567283235294117,"['52.237974 0.062705 52.237644 0.063174 52.237248 0.063689 52.237061 0.063936 52.236983 0.064038 52.236531 0.064582 52.236167 0.065006 52.235872 0.065318 52.235231 0.065999', '52.240826 0.057497 52.240304 0.058519 52.239479 0.060133 52.239172 0.060704 52.238745 0.061461 52.238547 0.061796 52.238547 0.061797 52.238467 0.061931 52.238176 0.062426 52.237974 0.062705', '52.247573 0.044297 52.247447 0.044548', '52.247447 0.044548 52.247391 0.044656 52.246796 0.045808 52.246489 0.046387 52.246061 0.047209 52.245047 0.049184 52.24473 0.049814 52.244256 0.05073 52.243688 0.051861 52.243411 0.052404 52.24177 0.055625 52.241191 0.056779 52.240826 0.057497']",2026-04-11 05:09:20.728518,planned,2026-04-11 19:00:00+00:00,2026-04-12 05:00:00+00:00,10.0,2026-04-11 19:00:00+00:00,2026-04-12 05:00:00+00:00,10.0,3,30.0,19,5,2026-04-11
481398,1-1770230430-ee17da45-7781-4cee-85b8-1958b86f1b72,2026-04-11T19:00:00Z,2026-04-12T05:00:00Z,planned,roadMaintenance,roadworks,A14,1,52.24002867857143,0.0590728928571428,"['52.240826 0.057497 52.240366 0.058604 52.239916 0.059619 52.239578 0.060345 52.239243 0.061019 52.23889 0.061683 52.238612 0.062155 52.238277 0.062681 52.237967 0.063123 52.237742 0.063439 52.237579 0.063711 52.237325 0.064136 52.237128 0.064508 52.23681 0.065124 52.236391 0.065974 52.236014 0.066746 52.235366 0.068027 52.235319 0.06813', '52.246474 0.046417 52.246061 0.047209 52.245047 0.049184 52.24473 0.049814 52.244256 0.05073 52.243688 0.051861 52.243411 0.052404 52.24177 0.055625 52.241191 0.056779 52.240826 0.057497']",2026-04-11 05:09:20.728567,planned,2026-04-11 19:00:00+00:00,2026-04-12 05:00:00+00:00,10.0,2026-04-11 19:00:00+00:00,2026-04-12 05:00:00+00:00,10.0,2,20.0,19,5,2026-04-11
481398,1-1770230430-acff749b-b497-4d6f-a60f-01677b02af5c,2026-04-09T19:00:00Z,2026-04-10T05:00:00Z,planned,roadMaintenance,roadworks,A14,2,52.26053557777777,0.0163972222222222,"['52.257609 0.023547 52.257608 0.023549 52.25716 0.024574', '52.254476 0.030144 52.254231 0.030657 52.25356 0.032047 52.253118 0.032961', '52.268741 -0.002783 52.268732 -0.002764 52.268309 -0.00178 52.267733 -0.000488 52.267478 0.000091 52.267115 0.000911 52.266399 0.002559 52.266268 0.00286 52.265359 0.004943 52.264404 0.007174', '52.264404 0.007174 52.26336 0.009511 52.26316 0.009967 52.263142 0.01001 52.262569 0.01133 52.261812 0.013206 52.261635 0.01368 52.261353 0.014443 52.260789 0.015942 52.260634 0.016352 52.260361 0.017076 52.260303 0.017224', '52.25716 0.024574 52.256287 0.026374 52.255742 0.027497 52.255366 0.028276 52.255208 0.028608 52.254476 0.030144', '52.260303 0.017224 52.259679 0.01882 52.259401 0.019506 52.259164 0.020059 52.258981 0.020466 52.258838 0.020759 52.258382 0.021833 52.257952 0.022782 52.257731 0.023289 52.257609 0.023547']",2026-04-11 05:09:20.728631,planned,2026-04-09 19:00:00+00:00,2026-04-10 05:00:00+00:00,10.0,2026-04-10 00:00:00+00:00,2026-04-10 05:00:00+00:00,5.0,2,10.0,19,3,2026-04-09
481533,1-1770819974-8fa8f569-45d0-4710-a6df-39f3d37e1c3d,2026-04-09T19:00:00Z,2026-04-10T05:00:00Z,planned,roadMaintenance,roadworks,M1,3,52.84761067605634,-1.2985238591549295,"['52.855638 -1.299951 52.855692 -1.299979 52.85599 -1.300138 52.85645 -1.300368 52.858015 -1.301198 52.858136 -1.301262 52.858948 -1.30168', '52.839108 -1.296165 52.840383 -1.295929 52.840965 -1.295838 52.84107 -1.295822 52.841761 -1.295794 52.842354 -1.295755 52.842776 -1.295748 52.842884 -1.295746', '52.842884 -1.295746 52.84372 -1.295777 52.844197 -1.295799 52.84498 -1.295876 52.845016 -1.295875', '52.867646 -1.306247 52.867804 -1.30633', '52.832973 -1.298401 52.832975 -1.2984 52.833511 -1.298131 52.833612 -1.298078 52.834705 -1.297556 52.835602 -1.297185 52.836203 -1.296956 52.836293 -1.296921 52.836445 -1.296872 52.837163 -1.29664 52.838447 -1.296308 52.839108 -1.296165', '52.85553 -1.299893 52.855638 -1.299951', '52.858948 -1.30168 52.860048 -1.302256 52.860787 -1.30266 52.862122 -1.303337 52.864023 -1.304346 52.864241 -1.304462 52.865469 -1.305107 52.867646 -1.306247', '52.848049 -1.296524 52.848184 -1.296581 52.848427 -1.296651 52.84931 -1.296934 52.849688 -1.297074 52.849733 -1.297091 52.850256 -1.297275 52.850841 -1.297518 52.852013 -1.298064 52.852815 -1.298472 52.852834 -1.298481 52.854376 -1.299288 52.855191 -1.299715 52.85553 -1.299893', '52.830842 -1.299564 52.831495 -1.29922 52.831542 -1.299195 52.832501 -1.29869 52.832973 -1.298401', '52.845016 -1.295875 52.846014 -1.296007 52.846419 -1.29609 52.847436 -1.296326 52.847526 -1.296354 52.847541 -1.296359 52.847851 -1.296453 52.848049 -1.296524']",2026-04-11 05:09:20.728723,planned,2026-04-09 19:00:00+00:00,2026-04-10 05:00:00+00:00,10.0,2026-04-10 00:00:00+00:00,2026-04-10 05:00:00+00:00,5.0,3,15.0,19,3,2026-04-09
470844,1-1770730368-f293b6be-d3b5-410b-9fc8-9761a531e558,2026-04-10T08:00:00Z,2026-04-10T14:00:00Z,planned,roadMaintenance,roadworks,A36,1,51.07508885714286,-1.7878521428571428,['51.075752 -1.790037 51.075673 -1.78978 51.074905 -1.787261 51.074861 -1.787124 51.074824 -1.787004 51.074805 -1.786904 51.074802 -1.786855'],2026-04-11 05:09:20.728744,planned,2026-04-10 08:00:00+00:00,2026-04-10 14:00:00+00:00,6.0,2026-04-10 08:00:00+00:00,2026-04-10 14:00:00+00:00,6.0,2,12.0,8,4,2026-04-10
483341,1-1770819974-45720689-e631-4cea-9add-a45c1fb19c1a,2026-04-10T19:00:00Z,2026-04-11T05:00:00Z,planned,constructionWork,roadworks,M5,2,51.36230519148936,-2.8899650531914896,"['51.359379 -2.893495 51.359703 -2.893401 51.36028 -2.893226 51.360524 -2.893159 51.361966 -2.892655 51.362661 -2.892381 51.363193 -2.892162 51.36368 -2.891985', '51.348449 -2.89525 51.349169 -2.895235 51.349753 -2.895218 51.350428 -2.895188 51.350995 -2.895127 51.35104 -2.895123 51.3514 -2.895083 51.352561 -2.894957 51.35365 -2.894806 51.353803 -2.89478 51.354757 -2.894626 51.354929 -2.894586', '51.339458 -2.894458 51.343371 -2.895008 51.344853 -2.895152 51.346345 -2.895224 51.346723 -2.895237 51.347289 -2.895256 51.347793 -2.895281 51.348278 -2.895247 51.348449 -2.89525', '51.335815 -2.893922 51.33631 -2.894009 51.337864 -2.894212 51.3387 -2.894357 51.339149 -2.894409 51.339458 -2.894458', '51.358334 -2.893805 51.358496 -2.893765 51.358721 -2.893684 51.359262 -2.893536 51.359379 -2.893495', '51.354929 -2.894586 51.355964 -2.894377 51.356181 -2.894324 51.356802 -2.894206 51.35755 -2.894006 51.357856 -2.89394 51.358334 -2.893805', '51.36368 -2.891985 51.363842 -2.89193 51.363851 -2.891931 51.364266 -2.891781 51.364636 -2.891615 51.364915 -2.891487 51.365683 -2.891133 51.365971 -2.891009 51.366049 -2.890968 51.366179 -2.890899 51.366684 -2.890664 51.367406 -2.89029 51.367957 -2.889985 51.368084 -2.889916 51.3683 -2.889805 51.368499 -2.889694 51.369393 -2.889194 51.36961 -2.889059 51.369772 -2.888957 51.370034 -2.888819 51.370586 -2.88847 51.370784 -2.888345 51.371516 -2.887842 51.372059 -2.887435 51.373 -2.886721 51.373171 -2.886595 51.373515 -2.886286 51.373913 -2.885963 51.374466 -2.885428 51.374792 -2.885132', '51.374792 -2.885132 51.374846 -2.885076 51.375662 -2.884272 51.37607 -2.883849 51.37655 -2.883356 51.377348 -2.882466 51.377847 -2.881843 51.378818 -2.880626 51.379173 -2.880144 51.379691 -2.879422 51.380373 -2.878414 51.380755 -2.877818 51.381529 -2.876525 51.382257 -2.875289 51.384309 -2.871463 51.384765 -2.870595 51.385307 -2.869635']",2026-04-11 05:09:20.728959,planned,2026-04-10 19:00:00+00:00,2026-04-11 05:00:00+00:00,10.0,2026-04-10 19:00:00+00:00,2026-04-11 05:00:00+00:00,10.0,3,30.0,19,4,2026-04-10
483812,1-1772630297-4214a6ef-aaff-4f57-9903-175613642973,2026-04-09T19:00:00Z,2026-04-10T05:00:00Z,planned,roadMaintenance,roadworks,A47,2,52.62420753125,-0.094157953125,"['52.624448 -0.11516 52.62459 -0.114869 52.625238 -0.113485 52.62607 -0.111505 52.626426 -0.110591 52.626464 -0.110492 52.626754 -0.109741 52.626804 -0.10964', '52.623688 -0.079869 52.623577 -0.078935 52.623264 -0.076689 52.62297 -0.074534 52.622664 -0.07231 52.622279 -0.06943 52.622105 -0.067877 52.621995 -0.066803 52.621883 -0.065409 52.62183 -0.064449 52.621788 -0.063386 52.621758 -0.062383 52.621746 -0.061225 52.621755 -0.059026 52.621772 -0.057618 52.621786 -0.057419 52.621801 -0.057354', '52.62346 -0.117044 52.623564 -0.116864 52.62425 -0.115567 52.624448 -0.11516', '52.624013 -0.082231 52.623911 -0.081458 52.623802 -0.080685 52.623688 -0.079869', '52.620993 -0.121142 52.621054 -0.120978 52.621157 -0.12074 52.621307 -0.12048 52.62159 -0.120063 52.622322 -0.11895 52.622941 -0.117939 52.62346 -0.117044', '52.627006 -0.108785 52.626999 -0.108749 52.626978 -0.108573 52.626984 -0.108286 52.627035 -0.107317 52.627054 -0.106359 52.627032 -0.105296 52.626966 -0.104203 52.626884 -0.103391 52.626779 -0.102526 52.626617 -0.101307 52.626393 -0.099659 52.626111 -0.097632 52.625952 -0.096475 52.625753 -0.094985 52.625452 -0.092776 52.62523 -0.091163 52.624923 -0.088878 52.62473 -0.0875 52.624537 -0.086102 52.624352 -0.084706 52.624087 -0.082797 52.624013 -0.082231']",2026-04-11 05:09:20.729041,planned,2026-04-09 19:00:00+00:00,2026-04-10 05:00:00+00:00,10.0,2026-04-10 00:00:00+00:00,2026-04-10 05:00:00+00:00,5.0,2,10.0,19,3,2026-04-09
480612,1-1773316497-73bd8807-d8c8-4774-9a1a-6e292a036ff5,2026-04-09T19:00:00Z,2026-04-10T05:00:00Z,planned,roadMaintenance,roadworks,A1(M),4,54.2593600625,-1.5210581041666666,"['54.220657 -1.483983 54.22019 -1.483549 54.219094 -1.482671 54.218311 -1.482084 54.217388 -1.481525 54.216119 -1.48079 54.215481 -1.480445 54.214863 -1.48007 54.214136 -1.479614 54.211628 -1.477957 54.209512 -1.476593 54.206678 -1.474629 54.2064 -1.474439 54.202537 -1.471792 54.199151 -1.46941 54.196922 -1.467792 54.194735 -1.466303 54.191231 -1.463999 54.187819 -1.461818 54.186063 -1.460703', '54.223974 -1.487416 54.222672 -1.485998 54.221822 -1.485113 54.220926 -1.484233 54.220657 -1.483983', '54.181172 -1.457779 54.178118 -1.455704', '54.186063 -1.460703 54.184749 -1.459878 54.183707 -1.459325 54.18283 -1.458828 54.182111 -1.458383 54.181178 -1.457783 54.181172 -1.457779', '54.305546 -1.570491 54.305544 -1.570491 54.304705 -1.570073 54.303933 -1.569595 54.303142 -1.568976 54.302459 -1.568346 54.301853 -1.567711 54.301469 -1.567263 54.301154 -1.566856 54.300988 -1.566638 54.300988 -1.566638', '54.273067 -1.526955 54.271742 -1.525801 54.270858 -1.524963 54.269958 -1.524053 54.268755 -1.522728 54.268035 -1.521989 54.267108 -1.521117 54.265955 -1.520187 54.263791 -1.518438 54.262078 -1.517012 54.260292 -1.515453', '54.23907 -1.498384 54.237961 -1.49766 54.236648 -1.496812 54.235617 -1.496127 54.234796 -1.495534 54.23394 -1.49487 54.232985 -1.494042 54.231902 -1.493053 54.230852 -1.49221 54.229916 -1.491518 54.229094 -1.490977 54.228317 -1.490499 54.227685 -1.490146 54.226935 -1.489734 54.226423 -1.489395 54.225851 -1.489012 54.225245 -1.488557 54.224662 -1.488045 54.223974 -1.487416', '54.315266 -1.571645 54.313833 -1.571152 54.312894 -1.570988 54.312041 -1.570929 54.311153 -1.570966 54.309643 -1.57104', '54.260292 -1.515453 54.257788 -1.513284', '54.300988 -1.566638 54.300461 -1.565883 54.299966 -1.565093 54.299457 -1.564185 54.299058 -1.563389 54.298629 -1.56241 54.298179 -1.56128 54.297828 -1.560362 54.29731 -1.559017 54.296981 -1.558196 54.296399 -1.556909 54.2959 -1.555902 54.295238 -1.55474 54.294545 -1.553581 54.293748 -1.552394 54.293053 -1.551475 54.292189 -1.550423 54.289615 -1.547618', '54.283254 -1.540322 54.282068 -1.53833 54.281422 -1.537204 54.280597 -1.535804 54.279791 -1.534391 54.279173 -1.533396 54.278472 -1.532416 54.277832 -1.53162 54.277076 -1.530732 54.275587 -1.529287 54.2745 -1.528261 54.273067 -1.526955', '54.317616 -1.57311 54.316488 -1.572274 54.3157 -1.571836 54.315266 -1.571645', '54.257788 -1.513284 54.255317 -1.5112 54.252847 -1.509089 54.250272 -1.506933 54.248645 -1.505486 54.247503 -1.504399 54.246639 -1.503564 54.245915 -1.502946 54.244592 -1.50195 54.243612 -1.501275 54.23907 -1.498384', '54.309643 -1.57104 54.308693 -1.571065 54.308068 -1.571085 54.307336 -1.571008 54.306669 -1.570889 54.306071 -1.570689 54.305546 -1.570491', '54.289615 -1.547618 54.287197 -1.545089 54.286045 -1.543884 54.285448 -1.543221 54.284873 -1.542557 54.284287 -1.541813 54.283771 -1.541123 54.283411 -1.540592 54.283254 -1.540322']",2026-04-11 05:09:20.729214,planned,2026-04-09 19:00:00+00:00,2026-04-10 05:00:00+00:00,10.0,2026-04-10 00:00:00+00:00,2026-04-10 05:00:00+00:00,5.0,3,15.0,19,3,2026-04-09
480612,1-1773316497-ad48401c-e0c0-4f6e-a7c9-9ed4cef82546,2026-04-11T05:00:00Z,2026-04-13T19:00:00Z,planned,roadMaintenance,roadworks,A1(M),1,54.25936006944445,-1.521058111111111,"['54.186063 -1.460703 54.184749 -1.459878 54.183707 -1.459325 54.18283 -1.458828 54.182111 -1.458383 54.181178 -1.457783 54.181172 -1.457779', '54.289615 -1.547618 54.287197 -1.545089 54.286045 -1.543884 54.285448 -1.543221 54.284873 -1.542557 54.284287 -1.541813 54.283771 -1.541123 54.283411 -1.540592 54.283254 -1.540322', '54.23907 -1.498384 54.237961 -1.49766 54.236648 -1.496812 54.235617 -1.496127 54.234796 -1.495534 54.23394 -1.49487 54.232985 -1.494042 54.231902 -1.493053 54.230852 -1.49221 54.229916 -1.491518 54.229094 -1.490977 54.228317 -1.490499 54.227685 -1.490146 54.226935 -1.489734 54.226423 -1.489395 54.225851 -1.489012 54.225245 -1.488557 54.224662 -1.488045 54.223974 -1.487416', '54.223974 -1.487416 54.222672 -1.485998 54.221822 -1.485113 54.220926 -1.484233 54.220657 -1.483983', '54.273067 -1.526955 54.271742 -1.525801 54.270858 -1.524963 54.269958 -1.524053 54.268755 -1.522728 54.268035 -1.521989 54.267108 -1.521117 54.265955 -1.520187 54.263791 -1.518438 54.262078 -1.517012 54.260292 -1.515453', '54.305546 -1.570491 54.305544 -1.570491 54.304705 -1.570073 54.303933 -1.569595 54.303142 -1.568976 54.302459 -1.568346 54.301853 -1.567711 54.301469 -1.567263 54.301154 -1.566856 54.300988 -1.566638 54.300988 -1.566638', '54.315266 -1.571645 54.313833 -1.571152 54.312894 -1.570988 54.312041 -1.570929 54.311153 -1.570966 54.309643 -1.57104', '54.300988 -1.566638 54.300461 -1.565883 54.299966 -1.565093 54.299457 -1.564185 54.299058 -1.563389 54.298629 -1.56241 54.298179 -1.56128 54.297828 -1.560362 54.29731 -1.559017 54.296981 -1.558196 54.296399 -1.556909 54.2959 -1.555902 54.295238 -1.55474 54.294545 -1.553581 54.293748 -1.552394 54.293053 -1.551475 54.292189 -1.550423 54.289615 -1.547618', '54.309643 -1.57104 54.308693 -1.571065 54.308068 -1.571085 54.307336 -1.571008 54.306669 -1.570889 54.306071 -1.570689 54.305546 -1.570491', '54.283254 -1.540322 54.282068 -1.53833 54.281422 -1.537204 54.280597 -1.535804 54.279791 -1.534391 54.279173 -1.533396 54.278472 -1.532416 54.277832 -1.53162 54.277076 -1.530732 54.275587 -1.529287 54.2745 -1.528261 54.273067 -1.526955', '54.317617 -1.573111 54.316488 -1.572274 54.3157 -1.571836 54.315266 -1.571645', '54.257788 -1.513284 54.255317 -1.5112 54.252847 -1.509089 54.250272 -1.506933 54.248645 -1.505486 54.247503 -1.504399 54.246639 -1.503564 54.245915 -1.502946 54.244592 -1.50195 54.243612 -1.501275 54.23907 -1.498384', '54.260292 -1.515453 54.257788 -1.513284', '54.181172 -1.457779 54.178118 -1.455704', '54.220657 -1.483983 54.22019 -1.483549 54.219094 -1.482671 54.218311 -1.482084 54.217388 -1.481525 54.216119 -1.48079 54.215481 -1.480445 54.214863 -1.48007 54.214136 -1.479614 54.211628 -1.477957 54.209512 -1.476593 54.206678 -1.474629 54.2064 -1.474439 54.202537 -1.471792 54.199151 -1.46941 54.196922 -1.467792 54.194735 -1.466303 54.191231 -1.463999 54.187819 -1.461818 54.186063 -1.460703']",2026-04-11 05:09:20.729361,planned,2026-04-11 05:00:00+00:00,2026-04-13 19:00:00+00:00,62.0,2026-04-11 05:00:00+00:00,2026-04-13 19:00:00+00:00,62.0,3,186.0,5,5,2026-04-11
480612,1-1775016718-0e78cdb7-f3b3-4c5e-9c4f-10309d0b8529,2026-04-09T19:00:00Z,2026-04-10T05:00:00Z,planned,roadMaintenance,roadworks,A1(M),2,54.31959914285714,-1.5749021428571428,['54.321833 -1.577202 54.320705 -1.575964 54.320198 -1.57543 54.319518 -1.574735 54.318982 -1.574226 54.318338 -1.573645 54.31762 -1.573113'],2026-04-11 05:09:20.729385,planned,2026-04-09 19:00:00+00:00,2026-04-10 05:00:00+00:00,10.0,2026-04-10 00:00:00+00:00,2026-04-10 05:00:00+00:00,5.0,3,15.0,19,3,2026-04-09
