station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Abbey Wood,SE2 9RH,51.4910605627019,0.121394025366647,ABW,5131.0,88601,ABWD
Aber,CF83 1AQ,51.5749691125956,-3.22982905106563,ABE,3813.0,78371,ABER
Abercynon,CF45 4SE,51.6447124034837,-3.32698855170195,ACY,3801.0,78204,ABRCYNS
Aberdare,CF44 0PU,51.7150618291708,-3.44308409477462,ABA,3982.0,78100,ABDARE
Aberdeen,AB11 6LX,57.1437058328662,-2.09868538622245,ABD,8976.0,02071,ABRDEEN
Aberdour,KY3 0SN,56.0545955695197,-3.30056061487314,AUR,9090.0,03295,ABDO
Aberdovey,LL35 0NR,52.5439615025967,-4.05706796158074,AVY,4435.0,64409,ABDVY
Abererch,LL53 6PJ,52.8985884658899,-4.37417647351973,ABH,4440.0,64506,ABRE
Abergavenny,NP7 5HS,51.8166930409601,-3.00964730040687,AGV,3602.0,76251,ABRGVNY
Abergele and Pensarn,LL22 7PR,53.2945771647609,-3.58262268840784,AGL,2448.0,40073,ABGLELE
Aberystwyth,SY23 1LH,52.4140498933205,-4.08189442746786,AYW,4303.0,64607,ABRYSTH
Accrington,BB5 1LJ,53.7529733751372,-2.36954810226505,ACR,2552.0,29061,ACRNGTN
Achanalt,IV23 2QD,57.6096018732679,-4.91385256332031,AAT,8600.0,01081,ACHANLT
Achnasheen,IV22 2EJ,57.5792959197415,-5.07233352893289,ACN,8601.0,01079,ACHNSHN
Achnashellach,IV54 8YH,57.4820809030767,-5.33305678830677,ACH,8602.0,01078,ACHHSHL
Acklington,NE65 4DE,55.3070993237817,-1.65183479633575,ACK,7662.0,12115,ACKLNGT
Acle,NR13 3BZ,52.6346777628319,1.54391497575916,ACL,7286.0,48056,ACLE
Acocks Green,B27 6EB,52.4493240670217,-1.81897562150643,ACG,4529.0,66430,ACOCKSG
Acton Bridge (Cheshire),CW8 2RE,53.2665097605329,-2.60312690733168,ACB,2287.0,37001,ACBG
Acton Central,W3 6BH,51.5087150057177,-0.262970693276422,ACC,1404.0,72252,ACTNCTL
Acton Main Line,W3 9EH,51.5171788796431,-0.266756440210259,AML,3000.0,73240,ACTONML
Adderley Park,B9 4TG,52.4830872932844,-1.85594463679675,ADD,1036.0,65614,ADERLYP
Addiewell,EH55 8NQ,55.8434130805542,-3.60652712168835,ADW,9310.0,04090,ADIEWEL
Addlestone,KT15 2PB,51.3730447500684,-0.48445679693337,ASN,5550.0,86011,ADLESTN
Adisham,CT3 3JE,51.2411978022143,1.19908904695378,ADM,5160.0,89514,ADISHAM
Adlington (Cheshire),SK10 4NA,53.3195557900317,-2.13356274381038,ADC,2939.0,32575,ADLC
Adlington (Lancashire),PR6 9RS,53.6132468473224,-2.6030711963325,ADL,2641.0,30321,ADNL
Adwick,DN6 7AJ,53.5723210050351,-1.180356329611,AWK,8353.0,23118,ADWICK
Aigburth,L17 6AG,53.3645680055959,-2.92715540113816,AIG,2255.0,36086,AIGBURT
Ainsdale,PR8 3HJ,53.6020355257546,-3.04265252059266,ANS,2350.0,36062,AINSDAL
