train_id,actual_timestamp,planned_timestamp,gbtt_timestamp,loc_stanox,next_stanox,event_type,planned_event_type,variation_status,timetable_variation,platform,route,direction,train_terminated,delay_monitoring_point,msg_timestamp,data_source,is_delayed
365W85MY12,1776022560000,1776022530000,,31739,31713,ARRIVAL,ARRIVAL,LATE,1,,0,,false,false,1776018903000,SMART,1
352G54MY12,1776022440000,1776022500000,1776022500000,36069,36070,DEPARTURE,DEPARTURE,EARLY,1,1,1,UP,false,false,1776018903000,SMART,0
042H95MV12,1776022440000,1776022320000,1776022320000,06134,06113,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,true,1776018903000,SMART,1
352G54MY12,1776022560000,1776022620000,1776022620000,36070,36071,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018904000,SMART,0
722A31MY12,1776022440000,1776022320000,1776022320000,72272,72309,DEPARTURE,DEPARTURE,LATE,2,1,2,UP,false,false,1776018904000,SMART,1
722I22MX12,1776022440000,1776022350000,1776022320000,72277,72033,DEPARTURE,DEPARTURE,LATE,2,3,1,DOWN,false,true,1776018904000,SMART,1
652Y48MY12,1776022440000,1776022500000,,65625,65627,DEPARTURE,DEPARTURE,EARLY,1,,2,UP,false,false,1776018905000,SMART,0
651K27MX12,1776022500000,1776022410000,,59313,59301,DEPARTURE,DEPARTURE,LATE,2,,1,UP,false,false,1776018905000,SMART,1
041V68MQ12,1776022500000,1776022500000,,57458,57459,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,true,1776018905000,SMART,0
091T681W12,1776021420000,1776021210000,,09436,09439,DEPARTURE,DEPARTURE,LATE,4,,,,false,true,1776018905000,SDR,1
521P60MY12,1776022500000,1776022500000,,52701,52226,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,true,1776018905000,SMART,0
739W36MX12,1776022500000,1776022500000,1776022500000,52085,52206,ARRIVAL,ARRIVAL,ON TIME,0,,0,UP,false,false,1776018905000,SMART,0
872N39MX12,1776022500000,1776022440000,,52038,52219,DEPARTURE,DEPARTURE,LATE,1,,2,DOWN,false,false,1776018905000,SMART,1
741O87MX12,1776022440000,1776022500000,1776022500000,87052,87080,DEPARTURE,DEPARTURE,EARLY,1,8,1,DOWN,false,true,1776018905000,SMART,0
532F63MY12,1776022500000,1776022470000,,53234,53247,DEPARTURE,DEPARTURE,LATE,1,,1,UP,false,false,1776018906000,SMART,1
082K30MX12,1776022560000,1776022560000,1776022560000,07257,,ARRIVAL,DESTINATION,ON TIME,0,14,0,DOWN,true,true,1776018906000,SMART,0
542F56MX12,1776022380000,1776022380000,1776022380000,53243,53241,DEPARTURE,DEPARTURE,ON TIME,0,2,2,DOWN,false,false,1776018906000,SMART,0
072M75MY12,1776022500000,1776022560000,,07246,07257,DEPARTURE,DEPARTURE,EARLY,1,,2,DOWN,false,false,1776018906000,SMART,0
871S62MX12,1776022440000,1776022500000,1776022500000,87141,87142,DEPARTURE,DEPARTURE,EARLY,1,1,2,UP,false,true,1776018906000,SMART,0
252R56MY12,1776022440000,1776022320000,1776022320000,24314,24221,DEPARTURE,DEPARTURE,LATE,2,2,1,UP,false,false,1776018906000,SMART,1
872H62MY12,1776022500000,1776022560000,1776022560000,87163,87169,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018906000,SMART,0
872F60MX12,1776022440000,1776022530000,,87271,87261,DEPARTURE,DEPARTURE,EARLY,1,2,3,UP,false,false,1776018906000,SMART,0
871F48MV12,1776022440000,1776022350000,1776022320000,88272,88269,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,false,1776018906000,SMART,1
871W63MY12,1776022440000,1776022500000,1776022500000,87212,87286,DEPARTURE,DEPARTURE,EARLY,1,12,1,DOWN,false,true,1776018906000,SMART,0
721F32MV12,1776022440000,1776022320000,,37011,37003,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,true,1776018906000,SMART,1
872B17MX12,1776022440000,1776022500000,1776022500000,87203,87199,DEPARTURE,DEPARTURE,EARLY,1,4,1,UP,false,true,1776018906000,SMART,0
861N35MY12,1776022500000,1776022500000,,86223,86225,ARRIVAL,ARRIVAL,ON TIME,0,,0,,false,false,1776018906000,SMART,0
731D38MY12,1776022440000,1776022500000,1776022500000,73822,74005,DEPARTURE,DEPARTURE,EARLY,1,2,1,DOWN,false,true,1776018906000,SMART,0
321N64MX12,1776022500000,1776022470000,1776022500000,30321,30213,ARRIVAL,ARRIVAL,LATE,1,2,0,DOWN,false,false,1776018906000,SMART,1
321D39MX12,1776022500000,1776022470000,,35555,35701,DEPARTURE,DEPARTURE,LATE,1,,3,UP,false,false,1776018906000,SMART,1
382N52MY12,1776022500000,1776022560000,1776022560000,38153,38157,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018906000,SMART,0
